E_PIZZA_ORDER_KEY,E_PIZZA_ID,E_ORDER_ID,ORDER_SIZE,SAUCE,CHEESE,MEAT,VEGGIES,BAKED,STARTTIMESTAMP,ENDTIMESTAMP,LATENCYMS
17_a37c3e48-f834-445e-b823-7bea1566b633,17,a37c3e48-f834-445e-b823-7bea1566b633,100,Olive Oil,"['mozzarella', 'provolone', 'parmesan', 'gorgonzola']",[],[],False,1764176279136,1764176331457,52321
17_bcb75833-4cf6-4879-90fd-1da4a23f8bc1,17,bcb75833-4cf6-4879-90fd-1da4a23f8bc1,50,White Garlic Cream,['mozzarella'],[],"['mushroom', 'truffle']",True,1764172404095,1764172491166,87071
17_c46dc17e-41ac-4425-acf0-f57987a7dd22,17,c46dc17e-41ac-4425-acf0-f57987a7dd22,50,Olive Oil,"['mozzarella', 'provolone', 'parmesan', 'gorgonzola']",[],[],True,1764171814643,1764171835155,20512
17_df93b2e3-8576-4f50-8ff4-916e33571ea9,17,df93b2e3-8576-4f50-8ff4-916e33571ea9,100,Sriracha-Tomato Blend,"['mozzarella', 'jalapeño jack']",['ground beef'],"['jalapeño', 'red bell pepper']",False,1764175829789,1764175881616,51827
17_f10c0f3d-f4e4-407e-a2b2-b0e2069c1e4e,17,f10c0f3d-f4e4-407e-a2b2-b0e2069c1e4e,100,White Garlic Cream,['mozzarella'],[],"['mushroom', 'truffle']",False,1764173627739,1764173644243,16504
17_f5187049-c9f4-44c8-b5ff-53878610baea,17,f5187049-c9f4-44c8-b5ff-53878610baea,100,tomato,['mozzarella'],['pepperoni'],[],False,1764174731135,1764174817706,86571
17_fe0c1f3a-2994-49b4-b93d-c7007756f322,17,fe0c1f3a-2994-49b4-b93d-c7007756f322,100,tomato,['mozzarella'],['pepperoni'],[],False,1764177333679,1764177349562,15883
17_fe8e08a8-777e-4986-a7e2-482b8f9fb831,17,fe8e08a8-777e-4986-a7e2-482b8f9fb831,100,Olive Oil,"['mozzarella', 'provolone', 'parmesan', 'gorgonzola']",[],[],False,1764175286376,1764175443087,156711
18_050b3fde-8b14-4304-9852-4553eb02f161,18,050b3fde-8b14-4304-9852-4553eb02f161,50,Olive Oil,"['mozzarella', 'provolone', 'parmesan', 'gorgonzola']",[],[],True,1764172983623,1764173064747,81124
18_067646a4-55fb-4794-a053-f0b8058b5d4b,18,067646a4-55fb-4794-a053-f0b8058b5d4b,50,tomato,['mozzarella'],[],['basil'],True,1764172615407,1764172630915,15508
18_1c15c39d-92af-4ded-80f9-83ab37feb1d5,18,1c15c39d-92af-4ded-80f9-83ab37feb1d5,100,Sriracha-Tomato Blend,"['mozzarella', 'jalapeño jack']",['ground beef'],"['jalapeño', 'red bell pepper']",False,1764176718188,1764176759731,41543
18_367a96cd-8c2e-4297-a96c-8e35a863c6bc,18,367a96cd-8c2e-4297-a96c-8e35a863c6bc,100,White Garlic Cream,['mozzarella'],[],"['mushroom', 'truffle']",False,1764174143279,1764174161954,18675
18_482f7ff0-faed-45c3-90a7-7fb2fd0be63b,18,482f7ff0-faed-45c3-90a7-7fb2fd0be63b,50,tomato,['mozzarella'],[],['basil'],True,1764173477584,1764173516496,38912
18_66c49367-be59-420c-9602-7763eee79cfa,18,66c49367-be59-420c-9602-7763eee79cfa,50,Hollandaise Sauce,"['mozzarella', 'cheddar']","['sausage', 'bacon']","['scrambled egg', 'chives']",True,1764171307388,1764171325699,18311
18_7075519a-7d8c-49b4-9f8c-fa9b83857e42,18,7075519a-7d8c-49b4-9f8c-fa9b83857e42,50,tomato,['mozzarella'],['pepperoni'],[],True,1764172135062,1764172151422,16360
18_9563c743-f1f0-4eb8-a12d-256f529be4b2,18,9563c743-f1f0-4eb8-a12d-256f529be4b2,50,White Garlic Cream,['mozzarella'],[],"['mushroom', 'truffle']",True,1764171149919,1764171168397,18478
18_9caddd73-34e8-406b-b20b-2ab365bdfc6e,18,9caddd73-34e8-406b-b20b-2ab365bdfc6e,50,Hollandaise Sauce,"['mozzarella', 'cheddar']","['sausage', 'bacon']","['scrambled egg', 'chives']",True,1764171642080,1764171659536,17456
18_9dab3fa1-9659-4c1a-8667-62546b58f72f,18,9dab3fa1-9659-4c1a-8667-62546b58f72f,50,Olive Oil,"['mozzarella', 'provolone', 'parmesan', 'gorgonzola']",[],[],True,1764173178689,1764173195898,17209
18_a37c3e48-f834-445e-b823-7bea1566b633,18,a37c3e48-f834-445e-b823-7bea1566b633,100,Olive Oil,"['mozzarella', 'provolone', 'parmesan', 'gorgonzola']",[],[],False,1764176282151,1764176333962,51811
18_bcb75833-4cf6-4879-90fd-1da4a23f8bc1,18,bcb75833-4cf6-4879-90fd-1da4a23f8bc1,50,White Garlic Cream,['mozzarella'],[],"['mushroom', 'truffle']",True,1764172407101,1764172493677,86576
18_c46dc17e-41ac-4425-acf0-f57987a7dd22,18,c46dc17e-41ac-4425-acf0-f57987a7dd22,50,Olive Oil,"['mozzarella', 'provolone', 'parmesan', 'gorgonzola']",[],[],True,1764171817648,1764171837659,20011
